station,year,date,jd,variety,rep,stage,cumdd,cumGDD,bloom,pink,wt,cultivar
Brays Landing,2010,16apr2010,106,Cripps Pink,24,F,232.58086,117.46999,1,0,1,Cripps Pink
Brays Landing,2010,16apr2010,106,Cripps Pink,5,F,232.58086,117.46999,1,0,1,Cripps Pink
Brays Landing,2010,16apr2010,106,Cripps Pink,6,F,232.58086,117.46999,1,0,1,Cripps Pink
Brays Landing,2010,16apr2010,106,Cripps Pink,11,F,232.58086,117.46999,1,0,1,Cripps Pink
Brays Landing,2010,16apr2010,106,Cripps Pink,15,F,232.58086,117.46999,1,0,1,Cripps Pink
Brays Landing,2010,16apr2010,106,Cripps Pink,23,F,232.58086,117.46999,1,0,1,Cripps Pink
Brays Landing,2010,16apr2010,106,Cripps Pink,27,F,232.58086,117.46999,1,0,1,Cripps Pink
Brays Landing,2010,16apr2010,106,Cripps Pink,9,F,232.58086,117.46999,1,0,1,Cripps Pink
Brays Landing,2010,16apr2010,106,Cripps Pink,28,F,232.58086,117.46999,1,0,1,Cripps Pink
Brays Landing,2010,16apr2010,106,Cripps Pink,25,F,232.58086,117.46999,1,0,1,Cripps Pink
Brays Landing,2010,16apr2010,106,Cripps Pink,8,F,232.58086,117.46999,1,0,1,Cripps Pink
Brays Landing,2010,16apr2010,106,Cripps Pink,26,F,232.58086,117.46999,1,0,1,Cripps Pink
Brays Landing,2010,16apr2010,106,Cripps Pink,19,F,232.58086,117.46999,1,0,1,Cripps Pink
Brays Landing,2010,16apr2010,106,Cripps Pink,10,F,232.58086,117.46999,1,0,1,Cripps Pink
Brays Landing,2010,16apr2010,106,Cripps Pink,20,F,232.58086,117.46999,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,1,F,276.09509,160.00499,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,19,F,276.09509,160.00499,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,4,F,276.09509,160.00499,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,15,F,276.09509,160.00499,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,24,F,276.09509,160.00499,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,14,F,276.09509,160.00499,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,21,F,276.09509,160.00499,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,3,F,276.09509,160.00499,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,8,F,276.09509,160.00499,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,2,F,276.09509,160.00499,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,18,F,276.09509,160.00499,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,13,F,276.09509,160.00499,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,16,F,276.09509,160.00499,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,12,F,276.09509,160.00499,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,23,F,276.09509,160.00499,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,22,F,276.09509,160.00499,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,5,F,276.09509,160.00499,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,20,F,276.09509,160.00499,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,17,F,276.09509,160.00499,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,27,G,276.09509,160.00499,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,11,G,276.09509,160.00499,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,25,G,276.09509,160.00499,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,9,G,276.09509,160.00499,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,26,G,276.09509,160.00499,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,10,G,276.09509,160.00499,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,6,G,276.09509,160.00499,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,28,G,276.09509,160.00499,1,0,1,Cripps Pink
Brays Landing,2010,21apr2010,111,Cripps Pink,20,F,306.86011,190.76999,1,0,1,Cripps Pink
Brays Landing,2010,21apr2010,111,Cripps Pink,24,F,306.86011,190.76999,1,0,1,Cripps Pink
Brays Landing,2010,21apr2010,111,Cripps Pink,16,F,306.86011,190.76999,1,0,1,Cripps Pink
Brays Landing,2010,21apr2010,111,Cripps Pink,19,F,306.86011,190.76999,1,0,1,Cripps Pink
Brays Landing,2010,21apr2010,111,Cripps Pink,21,F,306.86011,190.76999,1,0,1,Cripps Pink
Brays Landing,2010,21apr2010,111,Cripps Pink,13,F,306.86011,190.76999,1,0,1,Cripps Pink
Brays Landing,2010,21apr2010,111,Cripps Pink,8,F,306.86011,190.76999,1,0,1,Cripps Pink
Brays Landing,2010,21apr2010,111,Cripps Pink,2,F,306.86011,190.76999,1,0,1,Cripps Pink
Brays Landing,2010,21apr2010,111,Cripps Pink,4,F,306.86011,190.76999,1,0,1,Cripps Pink
Brays Landing,2010,21apr2010,111,Cripps Pink,17,F,306.86011,190.76999,1,0,1,Cripps Pink
Brays Landing,2010,21apr2010,111,Cripps Pink,5,F,306.86011,190.76999,1,0,1,Cripps Pink
Brays Landing,2010,21apr2010,111,Cripps Pink,18,F,306.86011,190.76999,1,0,1,Cripps Pink
Brays Landing,2010,21apr2010,111,Cripps Pink,7,F,306.86011,190.76999,1,0,1,Cripps Pink
