station,year,date,jd,variety,rep,stage,cumdd,cumGDD,bloom,pink,wt,cultivar
Brays Landing,2010,16apr2010,106,Cripps Pink,25,F,241.00299,118,1,0,1,Cripps Pink
Brays Landing,2010,16apr2010,106,Cripps Pink,28,F,241.00299,118,1,0,1,Cripps Pink
Brays Landing,2010,16apr2010,106,Cripps Pink,9,F,241.00299,118,1,0,1,Cripps Pink
Brays Landing,2010,16apr2010,106,Cripps Pink,20,F,241.00299,118,1,0,1,Cripps Pink
Brays Landing,2010,16apr2010,106,Cripps Pink,19,F,241.00299,118,1,0,1,Cripps Pink
Brays Landing,2010,16apr2010,106,Cripps Pink,23,F,241.00299,118,1,0,1,Cripps Pink
Brays Landing,2010,16apr2010,106,Cripps Pink,5,F,241.00299,118,1,0,1,Cripps Pink
Brays Landing,2010,16apr2010,106,Cripps Pink,27,F,241.00299,118,1,0,1,Cripps Pink
Brays Landing,2010,16apr2010,106,Cripps Pink,10,F,241.00299,118,1,0,1,Cripps Pink
Brays Landing,2010,16apr2010,106,Cripps Pink,15,F,241.00299,118,1,0,1,Cripps Pink
Brays Landing,2010,16apr2010,106,Cripps Pink,26,F,241.00299,118,1,0,1,Cripps Pink
Brays Landing,2010,16apr2010,106,Cripps Pink,6,F,241.00299,118,1,0,1,Cripps Pink
Brays Landing,2010,16apr2010,106,Cripps Pink,24,F,241.00299,118,1,0,1,Cripps Pink
Brays Landing,2010,16apr2010,106,Cripps Pink,11,F,241.00299,118,1,0,1,Cripps Pink
Brays Landing,2010,16apr2010,106,Cripps Pink,8,F,241.00299,118,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,16,F,284.36108,161.05,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,13,F,284.36108,161.05,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,20,F,284.36108,161.05,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,14,F,284.36108,161.05,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,17,F,284.36108,161.05,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,15,F,284.36108,161.05,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,19,F,284.36108,161.05,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,24,F,284.36108,161.05,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,8,F,284.36108,161.05,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,1,F,284.36108,161.05,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,5,F,284.36108,161.05,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,3,F,284.36108,161.05,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,23,F,284.36108,161.05,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,22,F,284.36108,161.05,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,18,F,284.36108,161.05,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,4,F,284.36108,161.05,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,21,F,284.36108,161.05,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,2,F,284.36108,161.05,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,12,F,284.36108,161.05,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,28,G,284.36108,161.05,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,6,G,284.36108,161.05,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,26,G,284.36108,161.05,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,27,G,284.36108,161.05,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,11,G,284.36108,161.05,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,9,G,284.36108,161.05,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,10,G,284.36108,161.05,1,0,1,Cripps Pink
Brays Landing,2010,19apr2010,109,Cripps Pink,25,G,284.36108,161.05,1,0,1,Cripps Pink
Brays Landing,2010,21apr2010,111,Cripps Pink,22,F,318.61108,195.3,1,0,1,Cripps Pink
Brays Landing,2010,21apr2010,111,Cripps Pink,24,F,318.61108,195.3,1,0,1,Cripps Pink
Brays Landing,2010,21apr2010,111,Cripps Pink,2,F,318.61108,195.3,1,0,1,Cripps Pink
Brays Landing,2010,21apr2010,111,Cripps Pink,18,F,318.61108,195.3,1,0,1,Cripps Pink
Brays Landing,2010,21apr2010,111,Cripps Pink,12,F,318.61108,195.3,1,0,1,Cripps Pink
Brays Landing,2010,21apr2010,111,Cripps Pink,15,F,318.61108,195.3,1,0,1,Cripps Pink
Brays Landing,2010,21apr2010,111,Cripps Pink,19,F,318.61108,195.3,1,0,1,Cripps Pink
Brays Landing,2010,21apr2010,111,Cripps Pink,8,F,318.61108,195.3,1,0,1,Cripps Pink
