"lat","long"
41.03125,-104.09375
41.03125,-104.15625
41.03125,-104.21875
41.03125,-104.28125
41.03125,-104.34375
41.03125,-104.40625
41.03125,-104.46875
41.03125,-104.53125
41.03125,-104.59375
41.03125,-104.65625
41.03125,-104.71875
41.03125,-104.78125
41.03125,-104.84375
41.03125,-104.90625
41.03125,-104.96875
41.03125,-105.03125
41.03125,-105.09375
41.03125,-105.15625
41.03125,-105.21875
41.03125,-105.28125
41.03125,-105.34375
41.03125,-105.40625
41.03125,-105.46875
41.03125,-105.53125
41.03125,-105.59375
41.03125,-105.65625
41.03125,-105.71875
41.03125,-105.78125
41.03125,-105.84375
41.03125,-105.90625
41.03125,-105.96875
41.03125,-106.03125
41.03125,-106.09375
41.03125,-106.15625
41.03125,-106.21875
41.03125,-106.28125
41.03125,-106.34375
41.03125,-106.40625
41.03125,-106.46875
41.03125,-106.53125
41.03125,-106.59375
41.03125,-106.65625
41.03125,-106.71875
41.03125,-106.78125
41.03125,-106.84375
41.03125,-106.90625
41.03125,-106.96875
41.03125,-107.03125
41.03125,-107.09375
41.03125,-107.15625
41.03125,-107.21875
41.03125,-107.28125
41.03125,-107.34375
41.03125,-107.40625
41.03125,-107.46875
41.03125,-107.53125
41.03125,-107.59375
41.03125,-107.65625
41.03125,-107.71875
41.03125,-107.78125
41.03125,-107.84375
41.03125,-107.90625
41.03125,-107.96875
41.03125,-108.03125
41.03125,-108.09375
41.03125,-108.15625
41.03125,-108.21875
41.03125,-108.28125
41.03125,-108.34375
41.03125,-108.40625
41.03125,-108.46875
41.03125,-108.53125
41.03125,-108.59375
41.03125,-108.65625
41.03125,-108.71875
41.03125,-108.78125
41.03125,-108.84375
41.03125,-108.90625
41.03125,-108.96875
41.03125,-109.03125
41.03125,-109.09375
41.03125,-109.15625
41.03125,-109.21875
41.03125,-109.28125
41.03125,-109.34375
41.03125,-109.40625
41.03125,-109.46875
41.03125,-109.53125
41.03125,-109.59375
41.03125,-109.65625
41.03125,-109.71875
41.03125,-109.78125
41.03125,-109.84375
41.03125,-109.90625
41.03125,-109.96875
41.03125,-110.03125
41.03125,-110.09375
41.03125,-110.15625
41.03125,-110.21875
41.03125,-110.28125
41.03125,-110.34375
41.03125,-110.40625
41.03125,-110.46875
41.03125,-110.53125
41.03125,-110.59375
41.03125,-110.65625
41.03125,-110.71875
41.03125,-110.78125
41.03125,-110.84375
41.03125,-110.90625
41.03125,-110.96875
41.03125,-111.03125
41.03125,-111.09375
41.09375,-104.09375
41.09375,-104.15625
41.09375,-104.21875
41.09375,-104.28125
41.09375,-104.34375
41.09375,-104.40625
41.09375,-104.46875
41.09375,-104.53125
41.09375,-104.59375
41.09375,-104.65625
41.09375,-104.71875
41.09375,-104.78125
41.09375,-104.84375
41.09375,-104.90625
41.09375,-104.96875
41.09375,-105.03125
41.09375,-105.09375
41.09375,-105.15625
41.09375,-105.21875
41.09375,-105.28125
41.09375,-105.34375
41.09375,-105.40625
41.09375,-105.46875
41.09375,-105.53125
41.09375,-105.59375
41.09375,-105.65625
41.09375,-105.71875
41.09375,-105.78125
41.09375,-105.84375
41.09375,-105.90625
41.09375,-105.96875
41.09375,-106.03125
41.09375,-106.09375
41.09375,-106.15625
41.09375,-106.21875
41.09375,-106.28125
41.09375,-106.34375
41.09375,-106.40625
41.09375,-106.46875
41.09375,-106.53125
41.09375,-106.59375
41.09375,-106.65625
41.09375,-106.71875
41.09375,-106.78125
41.09375,-106.84375
41.09375,-106.90625
41.09375,-106.96875
41.09375,-107.03125
41.09375,-107.09375
41.09375,-107.15625
41.09375,-107.21875
41.09375,-107.28125
41.09375,-107.34375
41.09375,-107.40625
41.09375,-107.46875
41.09375,-107.53125
41.09375,-107.59375
41.09375,-107.65625
41.09375,-107.71875
41.09375,-107.78125
41.09375,-107.84375
41.09375,-107.90625
41.09375,-107.96875
41.09375,-108.03125
41.09375,-108.09375
41.09375,-108.15625
41.09375,-108.21875
41.09375,-108.28125
41.09375,-108.34375
41.09375,-108.40625
41.09375,-108.46875
41.09375,-108.53125
41.09375,-108.59375
41.09375,-108.65625
41.09375,-108.71875
41.09375,-108.78125
41.09375,-108.84375
41.09375,-108.90625
41.09375,-108.96875
41.09375,-109.03125
41.09375,-109.09375
41.09375,-109.15625
41.09375,-109.21875
41.09375,-109.28125
41.09375,-109.34375
41.09375,-109.40625
41.09375,-109.46875
41.09375,-109.53125
41.09375,-109.59375
41.09375,-109.65625
41.09375,-109.71875
41.09375,-109.78125
41.09375,-109.84375
41.09375,-109.90625
41.09375,-109.96875
41.09375,-110.03125
41.09375,-110.09375
41.09375,-110.15625
41.09375,-110.21875
41.09375,-110.28125
41.09375,-110.34375
41.09375,-110.40625
41.09375,-110.46875
41.09375,-110.53125
41.09375,-110.59375
41.09375,-110.65625
41.09375,-110.71875
41.09375,-110.78125
41.09375,-110.84375
41.09375,-110.90625
41.09375,-110.96875
41.09375,-111.03125
41.09375,-111.09375
41.15625,-104.09375
41.15625,-104.15625
41.15625,-104.21875
41.15625,-104.28125
41.15625,-104.34375
41.15625,-104.40625
41.15625,-104.46875
41.15625,-104.53125
41.15625,-104.59375
41.15625,-104.65625
41.15625,-104.71875
41.15625,-104.78125
41.15625,-104.84375
41.15625,-104.90625
41.15625,-104.96875
41.15625,-105.03125
41.15625,-105.09375
41.15625,-105.15625
41.15625,-105.21875
41.15625,-105.28125
41.15625,-105.34375
41.15625,-105.40625
41.15625,-105.46875
41.15625,-105.53125
