"CropTyp","acr_sum","acr_sum_Surv_lessThan5","acr_sum_Surv_lessThan10"
"barley",1356,25,51
"barley hay",1200,31,99
"bean seed",440,3,27
"bean, dry",6126,87,186
"bean, garbanzo",1086,2,25
"bean, green",630,7,7
"beet seed",464,3,3
"bluegrass seed",9149,51,134
"buckwheat",5284,39,145
"cabbage",16,NA,NA
"canola",3568,17,39
"cantaloupe",4,4,4
"carrot",3385,21,40
"carrot seed",166,2,2
"clover hay",133,NA,9
"clover/grass hay",146,5,5
"corn seed",3214,510,813
"corn, field",82512,1091,2925
"corn, sweet",22659,222,537
"corn, unknown",79,1,9
"fescue seed",560,10,27
"garlic",41,NA,NA
"grass seed",5727,35,134
"green manure",325,9,50
"legume cover",51,10,30
"medicinal herb",302,8,41
"mustard",36,3,3
"mustard seed",2,2,2
"oat",1052,12,55
"oat hay",1082,28,87
"onion",16757,104,297
"onion seed",3,3,3
"pea seed",323,3,21
"pea, dry",2962,49,85
"pea, green",4853,24,70
"pepper",322,10,10
"potato",80364,317,827
"pumpkin",428,43,90
"rye",28,4,4
"ryegrass seed",520,6,6
"safflower seed",78,NA,NA
"seed, other",16,NA,NA
"sorghum",22,NA,NA
"soybean",203,7,23
"spinach",108,2,2
"squash",211,15,15
"sudangrass",3131,65,131
"sugar beet",1820,6,6
"sugar beet seed",48,NA,NA
"sunflower",91,NA,16
"sunflower seed",1028,27,44
"swiss chard seed",24,7,7
"triticale",465,3,21
"triticale hay",1218,25,143
"vegetable, unknown",16,4,4
"watermelon",241,6,6
"wheat",81700,707,1977
"wheat fallow",4409,39,142
"yellow mustard",922,14,31
