"ID","DataSrc","Irrigtn","CropTyp","LstSrvD","county"
"2_WSDA_SF_2017","wsda","sprinkler","carrot","2017/08/17","Clallam"
"18_WSDA_SF_2017","wsda","sprinkler","corn, field","2017/08/16","Clallam"
"21_WSDA_SF_2017","wsda","big gun","barley","2017/08/16","Clallam"
"22_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/17","Clallam"
"23_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/17","Clallam"
"31_WSDA_SF_2017","wsda","big gun","barley","2017/08/16","Clallam"
"32_WSDA_SF_2017","wsda","sprinkler","barley","2017/08/16","Clallam"
"83_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/16","Clallam"
"84_WSDA_SF_2017","wsda","sprinkler","barley","2017/08/16","Clallam"
"85_WSDA_SF_2017","wsda","big gun","caneberry","2017/08/16","Clallam"
"89_WSDA_SF_2017","wsda","sprinkler","barley","2017/08/17","Clallam"
"91_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/17","Clallam"
"95_WSDA_SF_2017","wsda","big gun","barley","2017/08/16","Clallam"
"100_WSDA_SF_2017","wsda","sprinkler","triticale","2017/08/17","Clallam"
"102_WSDA_SF_2017","wsda","big gun","barley","2017/08/16","Clallam"
"103_WSDA_SF_2017","wsda","big gun","barley","2017/08/16","Clallam"
"105_WSDA_SF_2017","wsda","big gun","spinach seed","2017/08/16","Clallam"
"106_WSDA_SF_2017","wsda","sprinkler","barley","2017/08/16","Clallam"
"175_WSDA_SF_2017","wsda","big gun","barley","2017/08/17","Clallam"
"184_WSDA_SF_2017","wsda","big gun","barley","2017/08/16","Clallam"
"190_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/16","Clallam"
"196_WSDA_SF_2017","wsda","sprinkler","wheat","2017/08/17","Clallam"
"198_WSDA_SF_2017","wsda","big gun","wheat","2017/08/17","Clallam"
"201_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/17","Clallam"
"202_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/17","Clallam"
"203_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/17","Clallam"
"210_WSDA_SF_2017","wsda","sprinkler","barley","2017/08/16","Clallam"
"239_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/17","Clallam"
"333_WSDA_SF_2017","wsda","sprinkler","clover hay","2017/08/17","Clallam"
"334_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/17","Clallam"
"354_WSDA_SF_2017","wsda","big gun","barley","2017/08/16","Clallam"
"578_WSDA_SF_2017","wsda","big gun","caneberry","2017/08/16","Clallam"
"622_WSDA_SF_2017","wsda","big gun","triticale","2017/08/17","Clallam"
"623_WSDA_SF_2017","wsda","sprinkler","barley","2017/08/17","Clallam"
"626_WSDA_SF_2017","wsda","big gun","rye","2017/07/15","Jefferson"
"638_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/17","Clallam"
"639_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/17","Clallam"
"653_WSDA_SF_2017","wsda","big gun","caneberry","2017/08/16","Clallam"
"698_WSDA_SF_2017","wsda","sprinkler","cabbage seed","2017/08/23","Island"
"785_WSDA_SF_2017","wsda","big gun","spinach seed","2017/08/16","Clallam"
"787_WSDA_SF_2017","wsda","big gun","barley","2017/08/17","Clallam"
"793_WSDA_SF_2017","wsda","big gun","caneberry","2017/08/16","Clallam"
"794_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/17","Clallam"
"797_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/23","Island"
"802_WSDA_SF_2017","wsda","sprinkler","caneberry","2017/08/16","Clallam"
"810_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/17","Clallam"
"894_WSDA_SF_2017","wsda","drip","caneberry","2017/07/03","Jefferson"
"962_WSDA_SF_2017","wsda","sprinkler","caneberry","2017/07/03","Jefferson"
"973_WSDA_SF_2017","wsda","big gun","quinoa","2017/07/15","Jefferson"
"1085_WSDA_SF_2017","wsda","big gun","spinach seed","2017/08/17","Clallam"
"1744_WSDA_SF_2017","wsda","drip","caneberry","2017/08/23","Island"
"1745_WSDA_SF_2017","wsda","sprinkler","vegetable, unknown","2017/08/23","Island"
"3410_WSDA_SF_2017","wsda","big gun","barley","2017/08/23","Island"
"4670_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/23","Island"
"4909_WSDA_SF_2017","wsda","drip","caneberry","2017/08/23","Island"
"4912_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/23","Island"
"5424_WSDA_SF_2017","wsda","big gun","barley","2017/08/23","Island"
"5427_WSDA_SF_2017","wsda","big gun","cabbage seed","2017/08/23","Island"
"5430_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/23","Island"
"5684_WSDA_SF_2017","wsda","sprinkler","vegetable, unknown","2017/08/23","Island"
"5710_WSDA_SF_2017","wsda","big gun","barley","2017/08/23","Island"
"5719_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/23","Island"
"5721_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/23","Island"
"5730_WSDA_SF_2017","wsda","big gun","barley","2017/08/23","Island"
"5731_WSDA_SF_2017","wsda","big gun","barley","2017/08/23","Island"
"5732_WSDA_SF_2017","wsda","big gun","cabbage seed","2017/08/23","Island"
"5742_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/23","Island"
"5749_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/23","Island"
"5918_WSDA_SF_2017","wsda","big gun","beet seed","2017/08/23","Island"
"5946_WSDA_SF_2017","wsda","drip","caneberry","2017/08/23","Island"
"5954_WSDA_SF_2017","wsda","big gun","beet seed","2017/08/23","Island"
"5984_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/23","Island"
"5995_WSDA_SF_2017","wsda","big gun","squash","2017/08/23","Island"
"6001_WSDA_SF_2017","wsda","big gun","cabbage seed","2017/08/23","Island"
"6007_WSDA_SF_2017","wsda","big gun","barley","2017/08/23","Island"
"6023_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/23","Island"
"6054_WSDA_SF_2017","wsda","big gun","beet seed","2017/08/23","Island"
"6113_WSDA_SF_2017","wsda","big gun","caneberry","2017/08/23","Island"
"6264_WSDA_SF_2017","wsda","big gun","barley","2017/08/23","Island"
"6298_WSDA_SF_2017","wsda","big gun","cabbage seed","2017/08/23","Island"
"6323_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/23","Island"
"6406_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/23","Island"
"6409_WSDA_SF_2017","wsda","big gun","cabbage seed","2017/08/23","Island"
"6867_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/23","Island"
"6874_WSDA_SF_2017","wsda","big gun","caneberry","2017/08/23","Island"
"6875_WSDA_SF_2017","wsda","big gun","corn, sweet","2017/08/23","Island"
"13994_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"13997_WSDA_SF_2017","wsda","drip","caneberry","2017/09/12","Clark"
"14022_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"14030_WSDA_SF_2017","wsda","big gun","caneberry","2017/09/15","Clark"
"14044_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"14045_WSDA_SF_2017","wsda","drip","caneberry","2017/09/12","Clark"
"14066_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"14113_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"14114_WSDA_SF_2017","wsda","big gun","caneberry","2017/09/15","Clark"
"14126_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
