CropTyp,CropGrp,dblCrop_potentials,Exclude from CI_MikeStyle
alfalfa hay,Hay/Silage,PastureGrassHay,
alfalfa seed,Seed,PastureGrassHay,
alfalfa/grass hay,Vegetable,PastureGrassHay,
alfalfa/grass hay,Hay/Silage,PastureGrassHay,
alkali bee bed,Other,Ignore,Toss
allium,Flower Bulb,Annual,
almond,Orchard,Perennial,
apple,Orchard,Perennial,
apricot,Orchard,Perennial,
artichoke,Vegetable,Annual,
asparagus,Vegetable,Perennial,
barley,Cereal Grain,Annual,
barley hay,Vegetable,Annual,
barley hay,Hay/Silage,Annual,
bean seed,Seed,Annual,
"bean, dry",Vegetable,Annual,
"bean, garbanzo",Vegetable,Annual,
"bean, green",Vegetable,Annual,
beet,,Annual,
beet seed,Seed,Annual,
"berry, unknown",Berry,Perennial,
blueberry,Berry,Perennial,
bluegrass seed,Seed,,
bluegrass seed,Cereal Grain,,
broccoli,Vegetable,Annual,
broccoli seed,,Annual,
bromegrass seed,Seed,,
brussels sprouts,Vegetable,Annual,
brussels sprouts seed,Seed,Annual,
buckwheat,Cereal Grain,Annual,
cabbage,Vegetable,Annual,
cabbage seed,Vegetable,Annual,
cabbage seed,Seed,Annual,
cabbage seed,Cereal Grain,Annual,
camelina,Oilseed,Annual,
caneberry,Berry,Perennial,
canola,Vegetable,Annual,
canola,Oilseed,Annual,
cantaloupe,Melon,Annual,
carrot,Vegetable,Annual,
carrot seed,Seed,Annual,
cauliflower,Vegetable,Annual,
"cereal grain, unknown",Cereal Grain,Annual,
cherry,Orchard,Perennial,
chestnut,Orchard,Perennial,
chickpea,Vegetable,,
christmas tree,Commercial Tree,ignore,Toss
cilantro seed,Seed,Annual,
clover hay,Hay/Silage,,
clover seed,Seed,,
clover/grass hay,Hay/Silage,,
conifer seed,Seed,ignore,Toss
corn seed,Seed,Annual,
"corn, field",Vegetable,Annual,
"corn, field",Hay/Silage,Annual,
"corn, field",Cereal Grain,Annual,
"corn, sweet",Vegetable,Annual,
"corn, unknown",Cereal Grain,Annual,
cranberry,Berry,Perennial,
crp/conservation,Vineyard,ignore,Toss
crp/conservation,Other,ignore,Toss
crp/conservation,Cereal Grain,ignore,Toss
cucumber,Vegetable,Annual,
currant,Berry,Perennial,
daffodil,Flower Bulb,ignore,Toss
dahlia,Flower Bulb,ignore,Toss
Dandelion,,ignore,Toss
developed,Other,ignore,Toss
developed,Developed,ignore,Toss
dill,Oilseed,,
driving range,Turfgrass,ignore,Toss
fallow,Other,ignore,Toss
fallow,Cereal Grain,ignore,Toss
"fallow, idle",Other,ignore,Toss
"fallow, tilled",Other,ignore,Toss
fescue seed,Seed,,
filbert,Orchard,Perennial,
flax,Oilseed,,
flax seed,Seed,Annual,
garlic,Vegetable,Annual,
golf course,Turfgrass,ignore,Toss
"grape, juice",Vineyard,Perennial,
"grape, table",Vineyard,Perennial,
"grape, unknown",Vineyard,Perennial,
"grape, wine",Vineyard,Perennial,
grass hay,Hay/Silage,PastureGrassHay,
grass seed,Seed,,
"grass seed, other",Seed,,
green manure,Green Manure,,
"hay/silage, unknown",Hay/Silage,PastureGrassHay,
hemp,Seed,Annual,
